condition,model,seed,spearman,top5_precision,top5_enrichment_diff,n_train,n_test
original,xgb,0,0.8345615850160899,0.28735632183908044,0.41221553087234497,6902,1726
original,tabpfn,0,0.8796651194569552,0.40229885057471265,0.43845826387405396,6902,1726
quantile_balanced,xgb,0,0.8305466725427237,0.26436781609195403,0.4124022126197815,6900,1726
quantile_balanced,tabpfn,0,0.8788984592795467,0.40229885057471265,0.4354941248893738,6900,1726
original,xgb,1,0.8357593997973642,0.1839080459770115,0.41303569078445435,6902,1726
original,tabpfn,1,0.887476691055687,0.41379310344827586,0.4288569688796997,6902,1726
quantile_balanced,xgb,1,0.8382883532686842,0.1839080459770115,0.41848039627075195,6900,1726
quantile_balanced,tabpfn,1,0.8874542588086085,0.42528735632183906,0.4306313395500183,6900,1726
original,xgb,2,0.8445749858449243,0.28735632183908044,0.43072664737701416,6902,1726
original,tabpfn,2,0.8841996646190027,0.41379310344827586,0.45016366243362427,6902,1726
quantile_balanced,xgb,2,0.8443847878348936,0.27586206896551724,0.4349091649055481,6900,1726
quantile_balanced,tabpfn,2,0.8838186431471916,0.42528735632183906,0.4513211250305176,6900,1726
