embedding,target,split,split_id,model,model_seed,n_train,n_test,spearman,top5_precision,top5_enrich_diff
prott5,dms_enrichment_mean,within_position,within_seed0,xgb,0,6902,1726,0.8471610888029756,0.22988505747126436,0.41348618268966675
prott5,dms_enrichment_mean,within_position,within_seed0,xgb,1,6902,1726,0.8454951163858061,0.25287356321839083,0.4139557480812073
prott5,dms_enrichment_mean,within_position,within_seed0,xgb,2,6902,1726,0.8469027468913166,0.25287356321839083,0.40464890003204346
prott5,dms_enrichment_mean,within_position,within_seed0,xgb,3,6902,1726,0.8452298011538945,0.2988505747126437,0.4162924885749817
prott5,dms_enrichment_mean,within_position,within_seed0,xgb,4,6902,1726,0.8433495298303584,0.22988505747126436,0.4152483344078064
prott5,dms_enrichment_mean,within_position,within_seed0,tabpfn,0,6902,1726,0.8915105094418273,0.3333333333333333,0.4292212724685669
prott5,dms_enrichment_mean,within_position,within_seed1,xgb,0,6902,1726,0.847429626978418,0.22988505747126436,0.3961787819862366
prott5,dms_enrichment_mean,within_position,within_seed1,xgb,1,6902,1726,0.8436893485012774,0.2413793103448276,0.40785735845565796
prott5,dms_enrichment_mean,within_position,within_seed1,xgb,2,6902,1726,0.8485078054423814,0.26436781609195403,0.40278005599975586
prott5,dms_enrichment_mean,within_position,within_seed1,xgb,3,6902,1726,0.8451364104723145,0.25287356321839083,0.40368443727493286
prott5,dms_enrichment_mean,within_position,within_seed1,xgb,4,6902,1726,0.8453186223036621,0.27586206896551724,0.40664684772491455
prott5,dms_enrichment_mean,within_position,within_seed1,tabpfn,0,6902,1726,0.8965025199083422,0.41379310344827586,0.42835360765457153
prott5,dms_enrichment_mean,within_position,within_seed2,xgb,0,6902,1726,0.8468506523616361,0.26436781609195403,0.432320773601532
prott5,dms_enrichment_mean,within_position,within_seed2,xgb,1,6902,1726,0.8450034086245187,0.2988505747126437,0.4307712912559509
prott5,dms_enrichment_mean,within_position,within_seed2,xgb,2,6902,1726,0.8451180226576315,0.3103448275862069,0.43083083629608154
prott5,dms_enrichment_mean,within_position,within_seed2,xgb,3,6902,1726,0.8445489339125336,0.2413793103448276,0.43122923374176025
prott5,dms_enrichment_mean,within_position,within_seed2,xgb,4,6902,1726,0.843446423508491,0.3448275862068966,0.4291929602622986
prott5,dms_enrichment_mean,within_position,within_seed2,tabpfn,0,6902,1726,0.8956741060879204,0.39080459770114945,0.4498854875564575
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,xgb,0,6903,1725,0.7246271484277058,0.25287356321839083,0.40749144554138184
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,xgb,1,6903,1725,0.7232597853936432,0.26436781609195403,0.3992275595664978
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,xgb,2,6903,1725,0.7255715010276544,0.28735632183908044,0.403293251991272
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,xgb,3,6903,1725,0.7331634653700404,0.2413793103448276,0.3922191262245178
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,xgb,4,6903,1725,0.7261668497387294,0.21839080459770116,0.408316969871521
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold1,tabpfn,0,6903,1725,0.7288518921102585,0.3103448275862069,0.42811524868011475
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,xgb,0,6902,1726,0.7015941930772469,0.25287356321839083,0.39066082239151
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,xgb,1,6902,1726,0.6980726220077976,0.26436781609195403,0.35633301734924316
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,xgb,2,6902,1726,0.7000383748488115,0.22988505747126436,0.388649046421051
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,xgb,3,6902,1726,0.6984256241747371,0.26436781609195403,0.401178777217865
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,xgb,4,6902,1726,0.6952624751095,0.28735632183908044,0.373476505279541
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold2,tabpfn,0,6902,1726,0.7320230344777652,0.25287356321839083,0.39557766914367676
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,xgb,0,6902,1726,0.684899690987745,0.19540229885057472,0.3661919832229614
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,xgb,1,6902,1726,0.6901177182458308,0.1724137931034483,0.37303465604782104
