embedding,target,split,model,n_units,spearman_mean,spearman_std,top5_precision_mean,top5_enrich_diff_mean
prott5,dms_KmCO2_logfit,pos_holdout,xgb,5,0.25171428298606474,0.0409029744454246,0.16413793103448276,0.0721908736228943
prott5,dms_KmCO2_logfit,within_position,xgb,3,0.46678234618354436,0.022629353677227487,0.29501915708812265,0.14779799282550812
prott5,dms_VmaxRatio_logfit,pos_holdout,xgb,5,0.6858651204481555,0.01468330538733011,0.20183908045977014,0.35112024545669557
prott5,dms_VmaxRatio_logfit,within_position,xgb,3,0.8335279919587072,0.0022200455452274313,0.28275862068965524,0.40937161445617676
prott5,dms_enrichment_mean,pos_holdout,tabpfn,5,0.7190546469872489,0.015523125426109449,0.23678160919540234,0.3905222535133362
prott5,dms_enrichment_mean,pos_holdout,xgb,5,0.7010155272142807,0.016299171751611746,0.22436781609195405,0.3748951292037964
prott5,dms_enrichment_mean,within_position,tabpfn,3,0.8945623784793634,0.0026752562178545833,0.37931034482758624,0.4358201225598653
prott5,dms_enrichment_mean,within_position,xgb,3,0.8455458358551476,0.0005163226235720445,0.2659003831417625,0.41567494869232174
prott5,hoff_delta_O2_minus_N2,depth_holdout,tabpfn,1,0.5377217151141513,0.0,0.1417910447761194,0.8654237389564514
prott5,hoff_delta_O2_minus_N2,depth_holdout,xgb,1,0.3920031959332789,0.0,0.13208955223880597,0.7754644989967346
