dataset,task_name,target,split,config_label,model,pca_dim,tabpfn_cap,n_units,spearman_mean,spearman_std,top5_precision_mean,top5_enrich_diff_mean
DMS,DMS,dms_KmCO2_logfit,pos_holdout,fixed,xgb,128,,5,0.18952868790451544,0.040789264362192164,0.1411494252873563,0.047406734228134115
DMS,DMS,dms_KmCO2_logfit,pos_holdout,fixed,tabpfn,128,0.0,5,0.2572992166427863,0.05687510083633351,0.14942528735632182,0.055009412765502884
DMS,DMS,dms_KmCO2_logfit,pos_holdout,best_grid,xgb,128,,5,0.18952868790451544,0.040789264362192164,0.1411494252873563,0.047406734228134115
DMS,DMS,dms_KmCO2_logfit,pos_holdout,best_grid,tabpfn,128,0.0,5,0.2572992166427863,0.05687510083633351,0.14942528735632182,0.055009412765502884
DMS,DMS,dms_KmCO2_logfit,within_position,fixed,xgb,128,,3,0.4724558813155119,0.017120000689931015,0.31877394636015327,0.15851525366306302
DMS,DMS,dms_KmCO2_logfit,within_position,fixed,tabpfn,128,0.0,3,0.5531423697572739,0.005848677877880811,0.2911877394636015,0.1464537531137466
DMS,DMS,dms_KmCO2_logfit,within_position,best_grid,xgb,128,,3,0.4724558813155119,0.017120000689931015,0.31877394636015327,0.15851525366306302
DMS,DMS,dms_KmCO2_logfit,within_position,best_grid,tabpfn,128,0.0,3,0.5531423697572739,0.005848677877880811,0.2911877394636015,0.1464537531137466
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,fixed,xgb,128,,5,0.6274819478239991,0.015653759818353256,0.1894252873563218,0.326075975894928
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,fixed,tabpfn,128,0.0,5,0.6508250516882621,0.01456284699483467,0.2068965517241379,0.3420541405677795
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,best_grid,xgb,128,,5,0.6274819478239991,0.015653759818353256,0.1894252873563218,0.326075975894928
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,best_grid,tabpfn,128,0.0,5,0.6508250516882621,0.01456284699483467,0.2068965517241379,0.3420541405677795
DMS,DMS,dms_VmaxRatio_logfit,within_position,fixed,xgb,128,,3,0.8254683757258996,0.0065955614139025865,0.2590038314176245,0.4127476572990418
DMS,DMS,dms_VmaxRatio_logfit,within_position,fixed,tabpfn,128,0.0,3,0.8662017898772697,0.005309637897584964,0.3371647509578544,0.429693082968394
DMS,DMS,dms_VmaxRatio_logfit,within_position,best_grid,xgb,128,,3,0.8254683757258996,0.0065955614139025865,0.2590038314176245,0.4127476572990418
DMS,DMS,dms_VmaxRatio_logfit,within_position,best_grid,tabpfn,128,0.0,3,0.8662017898772697,0.005309637897584964,0.3371647509578544,0.429693082968394
DMS,DMS,dms_enrichment_mean,pos_holdout,fixed,xgb,128,,5,0.6481334986982052,0.01598775778197234,0.19540229885057467,0.3427632904052734
DMS,DMS,dms_enrichment_mean,pos_holdout,fixed,tabpfn,128,0.0,5,0.679363372573467,0.01792845210775083,0.22758620689655168,0.3600310802459717
DMS,DMS,dms_enrichment_mean,pos_holdout,best_grid,xgb,128,,5,0.6481334986982052,0.01598775778197234,0.19540229885057467,0.3427632904052734
DMS,DMS,dms_enrichment_mean,pos_holdout,best_grid,tabpfn,128,0.0,5,0.679363372573467,0.01792845210775083,0.22758620689655168,0.3600310802459717
DMS,DMS,dms_enrichment_mean,within_position,fixed,xgb,128,,3,0.8371231292235467,0.0053290864698992135,0.24750957854406128,0.4196979284286499
DMS,DMS,dms_enrichment_mean,within_position,fixed,tabpfn,128,0.0,3,0.8841998909951956,0.003756964022599583,0.4137931034482758,0.43907926479975384
DMS,DMS,dms_enrichment_mean,within_position,best_grid,xgb,128,,3,0.8371231292235467,0.0053290864698992135,0.24750957854406128,0.4196979284286499
DMS,DMS,dms_enrichment_mean,within_position,best_grid,tabpfn,128,0.0,3,0.8841998909951956,0.003756964022599583,0.4137931034482758,0.43907926479975384
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,fixed,xgb,128,,5,0.3313232125315164,0.014300740859146718,0.12659176029962543,0.6883088946342468
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,fixed,tabpfn,128,0.0,5,0.5046109446181837,0.0,0.1273408239700374,0.7760384678840637
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,best_grid,xgb,128,,5,0.3313232125315164,0.014300740859146718,0.12659176029962543,0.6883088946342468
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,best_grid,tabpfn,64,0.0,5,0.5157865060878497,0.0,0.1647940074906367,0.8727318644523621
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,fixed,xgb,128,,5,0.3952651656696548,0.013127369387760934,0.11086142322097374,0.6940294146537781
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,fixed,tabpfn,128,0.0,5,0.516557855243713,0.0,0.1198501872659176,0.8067187666893005
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,best_grid,xgb,128,,5,0.3952651656696548,0.013127369387760934,0.11086142322097374,0.6940294146537781
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,best_grid,tabpfn,128,5000.0,5,0.516557855243713,0.0,0.1198501872659176,0.8067187666893005
