dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,tabpfn,64,0.0,0.3277408681484886,0.0976024866104126,0.2413793103448276,0.0974756628274917,1,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,tabpfn,64,5000.0,0.31161338500107366,0.08893820047378535,0.22758620689655168,0.09464710652828215,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,tabpfn,128,0.0,0.3215933149104042,0.0836095213890075,0.1839080459770115,0.0490484088659286,1,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,tabpfn,128,5000.0,0.3170445169995692,0.07939219474792476,0.19080459770114938,0.06492173373699184,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,xgb,64,,0.2283333464641804,0.0397568821907043,0.18390804597701144,0.08479126989841457,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold1,xgb,128,,0.23017502842516685,0.047368109226226765,0.18160919540229883,0.06974003016948696,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,tabpfn,64,0.0,0.3028623245048466,0.0534304976463317,0.1034482758620689,0.051634281873703,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,tabpfn,64,5000.0,0.29346154933544666,0.04758212566375728,0.1172413793103448,0.05389562249183648,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,tabpfn,128,0.0,0.2663204950707314,0.0004447698593139,0.0689655172413793,0.0338533520698547,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,tabpfn,128,5000.0,0.26550645868119127,0.00188394784927366,0.08505747126436776,0.0327791720628738,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,xgb,64,,0.2355909649410665,0.038919448852539,0.14942528735632182,0.06038900017738338,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold2,xgb,128,,0.20993519837978822,-0.0047986030578613,0.12413793103448272,0.0476918518543243,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,tabpfn,64,0.0,0.1748216276664147,-0.0018935203552246,0.0919540229885057,0.0377256274223327,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,tabpfn,64,5000.0,0.17391500295412224,-0.0008955359458923543,0.10114942528735629,0.03840632438659664,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,tabpfn,128,0.0,0.2122354815335225,0.0405803918838501,0.1724137931034483,0.0859835743904113,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,tabpfn,128,5000.0,0.20355530093307433,0.03654274940490716,0.14252873563218388,0.07380518913269038,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,xgb,64,,0.16227876767292726,-0.02099201679229732,0.07816091954022984,0.0254889160394668,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold3,xgb,128,,0.18147068761472696,-0.0129543781280517,0.08735632183908043,0.025701308250427202,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,tabpfn,64,0.0,0.279688871757501,0.0462692379951477,0.2183908045977011,0.0830459594726562,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,tabpfn,64,5000.0,0.26112029905324075,0.0344651103019714,0.1701149425287356,0.06496006250381464,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,tabpfn,128,0.0,0.2992723084767703,0.0491397380828857,0.1954022988505747,0.0786983966827392,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,tabpfn,128,5000.0,0.27898647457674286,0.03956439495086668,0.20919540229885056,0.08303930759429928,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,xgb,64,,0.19165756448933458,0.00810859203338618,0.16321839080459769,0.061001831293106025,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold4,xgb,128,,0.2025113031541622,0.014402556419372539,0.2022988505747126,0.0705462574958801,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,64,0.0,0.1682003628555688,0.0064088106155395,0.1379310344827586,0.0296865999698638,1,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,64,5000.0,0.1698782036393331,0.008691036701202378,0.15172413793103445,0.0363696217536926,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,0.0,0.187074483222503,0.0200578570365905,0.1264367816091954,0.0274633318185806,1,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,0.17326905612624818,0.00850679874420164,0.1448275862068965,0.04129134118556972,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,xgb,64,,0.0982990997475353,-0.03613541126251214,0.11264367816091951,0.02164685130119318,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,xgb,128,,0.12355122194873291,-0.0266931533813476,0.11034482758620685,0.02335422337055202,5,6903,1725
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed0,tabpfn,64,0.0,0.4945876643703388,0.2103760242462158,0.3103448275862069,0.1520331352949142,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed0,tabpfn,64,5000.0,0.454367970009122,0.17997990846633907,0.29425287356321833,0.14674774706363675,5,6902,1726
