model,target,split,seed_or_fold,spearman,top5_precision,best_C,best_gamma,n_train,n_test,best_alpha
svr,dms_enrichment_mean,within_position,0,0.8388665390694533,0.2528735632183908,1.0,scale,6902,1726,
mlp,dms_enrichment_mean,within_position,0,0.7444859237328688,0.160919540229885,,,6902,1726,0.01
svr,dms_enrichment_mean,within_position,1,0.8407402688211458,0.2413793103448276,1.0,scale,6902,1726,
mlp,dms_enrichment_mean,within_position,1,0.760905399751914,0.1379310344827586,,,6902,1726,0.01
svr,dms_enrichment_mean,within_position,2,0.8464714348980431,0.2873563218390804,1.0,scale,6902,1726,
mlp,dms_enrichment_mean,within_position,2,0.801288735161821,0.2183908045977011,,,6902,1726,0.01
svr,dms_enrichment_mean,pos_holdout,1,0.6551514467875149,0.2068965517241379,1.0,scale,6903,1725,
mlp,dms_enrichment_mean,pos_holdout,1,0.5688821109819977,0.1264367816091954,,,6903,1725,0.01
svr,dms_enrichment_mean,pos_holdout,2,0.6441654958165184,0.1379310344827586,1.0,scale,6902,1726,
mlp,dms_enrichment_mean,pos_holdout,2,0.6162840400437315,0.1839080459770115,,,6902,1726,0.01
svr,dms_enrichment_mean,pos_holdout,3,0.6537789085826129,0.1724137931034483,100.0,scale,6902,1726,
mlp,dms_enrichment_mean,pos_holdout,3,0.4989232678932075,0.1149425287356321,,,6902,1726,0.0001
svr,dms_enrichment_mean,pos_holdout,4,0.6448970223158209,0.2183908045977011,1.0,scale,6902,1726,
mlp,dms_enrichment_mean,pos_holdout,4,0.4922737402770186,0.2183908045977011,,,6902,1726,0.01
svr,dms_enrichment_mean,pos_holdout,5,0.6285783792926619,0.1724137931034483,10.0,scale,6903,1725,
mlp,dms_enrichment_mean,pos_holdout,5,0.5944659132301147,0.160919540229885,,,6903,1725,0.01
svr,hoff_delta_O2_minus_N2,depth_holdout,0,0.3679420567896825,0.0895522388059701,0.1,scale,4924,5358,
mlp,hoff_delta_O2_minus_N2,depth_holdout,0,0.3144737191484506,0.1082089552238805,,,4924,5358,0.001
svr,dms_KmCO2_logfit,within_position,0,0.3666957270297521,0.3448275862068966,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,0,0.3869183464280973,0.3103448275862069,,,6902,1726,0.01
svr,dms_KmCO2_logfit,within_position,1,0.3867093685291525,0.3218390804597701,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,1,0.3457209902336468,0.264367816091954,,,6902,1726,0.01
svr,dms_KmCO2_logfit,within_position,2,0.3918623558066063,0.264367816091954,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,2,0.3480333322304495,0.1724137931034483,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,1,0.253670357369836,0.1264367816091954,0.1,scale,6903,1725,
mlp,dms_KmCO2_logfit,pos_holdout,1,0.193242977519717,0.1494252873563218,,,6903,1725,0.01
svr,dms_KmCO2_logfit,pos_holdout,2,0.2456332770436483,0.1724137931034483,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,2,0.156646909995597,0.1724137931034483,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,3,0.1789544494634548,0.1264367816091954,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,3,0.0555915669383754,0.0804597701149425,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,4,0.2324383688626781,0.2183908045977011,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,4,0.1278475687736563,0.1264367816091954,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,5,0.1352419000109761,0.1264367816091954,0.1,scale,6903,1725,
mlp,dms_KmCO2_logfit,pos_holdout,5,0.0951516197873995,0.1149425287356321,,,6903,1725,0.01
svr,dms_VmaxRatio_logfit,within_position,0,0.8236480440782733,0.2528735632183908,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,0,0.7637335856555054,0.2068965517241379,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,within_position,1,0.8250245758633588,0.2413793103448276,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,1,0.6677564416601603,0.1149425287356321,,,6902,1726,0.0001
svr,dms_VmaxRatio_logfit,within_position,2,0.8364304745180485,0.2988505747126437,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,2,0.816032555930454,0.2068965517241379,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,pos_holdout,1,0.6242880967078707,0.1954022988505747,1.0,scale,6903,1725,
mlp,dms_VmaxRatio_logfit,pos_holdout,1,0.3931193387102789,0.0459770114942528,,,6903,1725,0.0001
svr,dms_VmaxRatio_logfit,pos_holdout,2,0.6179617023408027,0.1034482758620689,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,2,0.6045860992823554,0.1494252873563218,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,pos_holdout,3,0.6373821005219401,0.1494252873563218,100.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,3,0.5003204197481373,0.1034482758620689,,,6902,1726,0.001
svr,dms_VmaxRatio_logfit,pos_holdout,4,0.6158043558921974,0.1839080459770115,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,4,0.456917470970681,0.1839080459770115,,,6902,1726,0.001
svr,dms_VmaxRatio_logfit,pos_holdout,5,0.6334755969051257,0.1494252873563218,1.0,scale,6903,1725,
