strain,doubling_time_min_h,doubling_time_max_h,mu_per_h,data_type,reference,y_true,y_pred_loocv
Cyanothece sp. ATCC 51142,16.0,20.0,0.0433216987849965,approx/range,"Alagesan et al., 2013",2.772588722239781,2.2131876945495605
Nostoc Punctiforme ATCC 29133,16.0,20.0,0.0433216987849965,approx/range,"Meeks et al., 2001",2.772588722239781,2.6653454303741455
Nostoc sp. ATCC 29413,14.0,16.0,0.0495105128971389,approx/range,"Mannan & Pakrasi, 1993",2.6390573296152584,3.080477714538574
Nostoc sp. PCC 7120,24.0,,0.028881132523331,approx/range,"Ehira et al., 2011",3.1780538303479458,2.681765556335449
Synechococcus elongatus PCC 11801,2.3,2.3,0.3013683393738893,condition-specific,"Jaiswal et al., 2018 (mBio) (doubling time under ambient CO2)",0.8329091229351039,1.515545129776001
Synechococcus elongatus PCC 6301,5.4,5.4,0.1283605889925824,condition-specific,"Yu et al., 2015 (Sci Rep) Table 1",1.6863989535702288,1.4530447721481323
Synechococcus elongatus PCC 7942,4.9,4.9,0.1414586082775398,condition-specific,"Yu et al., 2015 (Sci Rep) Table 1",1.589235205116581,1.4807989597320557
Synechococcus elongatus PCC 7942,4.9,4.9,0.1414586082775398,condition-specific,"Yu et al., 2015 (Sci Rep) Table 1",1.589235205116581,1.4807989597320557
Synechococcus sp. PCC 7002,3.5,3.5,0.1980420515885557,approx/range,"Xu et al., 2011",1.252762968495368,1.2576572895050049
Synechococcus sp. PCC 7002,3.5,3.5,0.1980420515885557,approx/range,"Xu et al., 2011",1.252762968495368,1.2576572895050049
Synechocystis sp. PCC 6803,6.0,12.0,0.1155245300933242,approx/range,"Heidorn et al., 2011",1.791759469228055,1.7714861631393433
Synechocystis sp. PCC 6803,6.0,12.0,0.1155245300933242,approx/range,"Heidorn et al., 2011",1.791759469228055,1.7714861631393433
